x,y,C
63,6,8.49153976119106e-17
64,6,1.1027515982142309e-16
65,6,1.439050318597489e-16
66,6,1.883700707013215e-16
67,6,2.4745933322505355e-16
68,6,3.26288740561803e-16
69,6,4.3170773371570697e-16
70,6,5.730905307130648e-16
71,6,7.635659874923182e-16
72,6,1.0208143466240152e-15
73,6,1.3666469640439069e-15
74,6,1.8274132804180975e-15
75,6,2.438342102502765e-15
76,6,3.2486840444198747e-15
77,6,4.3204061454722155e-15
78,6,5.7227776220373744e-15
79,6,7.538241622289615e-15
80,6,9.876598874750916e-15
81,6,1.2863539038130521e-14
82,6,1.659778146672181e-14
83,6,2.109241150923812e-14
84,6,2.6210225526562976e-14
85,6,3.16493508647086e-14
86,6,3.6407791910099593e-14
87,6,3.7543221071714024e-14
88,6,3.738625316711182e-14
89,6,3.346870158240822e-14
90,6,1.9385129877526564e-14
91,6,5.435850557208119e-15
92,6,7.397682198721977e-16
93,6,1.0041679077030747e-16
94,6,1.2984772602352072e-17
95,6,1.6223462725884325e-18
96,6,2.4587447833484303e-19
97,6,1.0824211496100433e-19
98,6,1.0449735755450982e-19
99,6,1.2916421647313244e-19
100,6,2.244952636164907e-19
101,6,4.829295317094213e-19
102,6,8.438338096686282e-19
103,6,1.5875820960585852e-18
104,6,2.7044435383007897e-18
105,6,5.128745288891407e-18
106,6,8.550873875227908e-18
107,6,1.5820220259036007e-17
108,6,2.721377295327143e-17
109,6,4.562261384432075e-17
110,6,8.785957095366789e-17
111,6,1.4337527263259683e-16
112,6,2.514629464085638e-16
113,6,4.689541154408276e-16
114,6,7.673205230429125e-16
115,6,1.4340996286483798e-15
116,6,2.4709224642580226e-15
117,6,4.427187660407154e-15
118,6,8.168317239296071e-15
119,6,1.586834725566305e-14
120,6,3.2860628190463434e-14
121,6,7.589839404787238e-14
122,6,2.0483959806683855e-13
123,6,6.448762037181613e-13
124,6,2.399250413291226e-12
125,6,1.740854634429192e-11
126,6,2.442065049079983e-10
127,6,2.2420940721342906e-8
128,6,3.616379926075718e-8
1,7,3.222444548595265e-9
2,7,2.213794114834946e-11
3,7,1.2678827094316156e-11
4,7,1.047228627496529e-11
5,7,9.179242552659339e-12
6,7,7.903083428341225e-12
7,7,6.25443796988648e-12
8,7,4.4583605497256575e-12
9,7,2.5718568535936855e-12
10,7,1.077995879622495e-12
11,7,2.780936302360452e-13
12,7,6.253007891876914e-14
13,7,1.46868730275467e-14
14,7,3.4321265236182792e-15
15,7,7.986457518080493e-16
16,7,1.8765245851479935e-16
17,7,4.518022537236373e-17
18,7,1.1281109798571083e-17
19,7,2.946265059559658e-18
20,7,8.091990710077686e-19
21,7,2.3439722921967035e-19
22,7,7.159349769772041e-20
23,7,2.2950543164109428e-20
24,7,7.719371412955493e-21
25,7,2.8759042296575108e-21
26,7,1.4304825529295806e-21
27,7,1.085906716823556e-21
28,7,1.0413445572822587e-21
29,7,1.0434670608749479e-21
30,7,1.057827661507003e-21
31,7,1.098010036371121e-21
32,7,1.1666561708682706e-21
33,7,1.2550878525315176e-21
34,7,1.3706956496079316e-21
35,7,1.5242208108085682e-21
36,7,1.7281243512803974e-21
37,7,1.9958373497203917e-21
38,7,2.3418580892549103e-21
39,7,2.782561060555173e-21
40,7,3.3374363425166145e-21
41,7,4.03061492276653e-21
42,7,4.892696954149623e-21
43,7,5.963032450333484e-21
44,7,7.292691258279128e-21
45,7,8.948405905086959e-21
46,7,1.1017812375414424e-20
47,7,1.3616435703993384e-20
48,7,1.6897156838506662e-20
49,7,2.1063113369508538e-20
50,7,2.6385045425025337e-20
51,7,3.3224563182080276e-20
52,7,4.206742512279757e-20
53,7,5.357120628053394e-20
54,7,6.862949851352267e-20
55,7,8.845514971617717e-20
56,7,1.147099167933783e-19
57,7,1.4968958250499973e-19
58,7,1.965897981099503e-19
59,7,2.59820735308367e-19
60,7,3.4559681704410063e-19
61,7,4.62617090033858e-19
62,7,6.2349807896882405e-19
63,7,8.455827582356542e-19
